country,director,genre,title,year
Индонезия,Ханун Брамантйо 1,Не указан,?,7 апреля 2011
США,Не указан,Не указан,5-я волна,2016
США Германия Чехия,Не указан,Не указан,7 дней до смерти,2000
Россия,Не указан,Айк Кбеян,"7 дней, 7 ночей",2024
Великобритания,Саймон Кёртис,Не указан,7 дней и ночей с Мэрилин,2011
Франция,Франсуа Озон,Не указан,5×2,2004
США,Роджер Споттисвуд,Не указан,6-й день,2000
Великобритания Новая Зеландия,Тоа Фрейзер,Не указан,6 дней,2017
Израиль ПНА Франция Нидерланды,Не указан,Не указан,5 разбитых камер,2011
Казахстан,Не указан,Аскар Узабаев,5 причин не влюбиться в казаха,2017
США,Не указан,Не указан,5 неизвестных...,2006
Великобритания,Ноэль Кларк,Не указан,4.3.2.1,2010
США 2 3,Брайан Хелгеленд,Не указан,42 / Номер 42,12 апреля 2013 и 8 августа 2013 [ 1 ]
США,Ллойд Бэкон Басби Беркли,Не указан,42-я улица,1933
Азербайджан,Эльчин Мусаоглу,Не указан,40-я дверь,2009
США,Майкл Леманн,Не указан,40 дней и 40 ночей,2002
Гонконг,Чэнь Чжихуа,Не указан,36 безумных кулаков,1977
Венгрия,Карой Макк,Не указан,39-я бригада,1959
Республика Корея,Кан Джегю,Не указан,38-я параллель,2004
США Грузия,Ренни Харлин,Не указан,5 дней в августе,2011
США Чили Колумбия,Не указан,Не указан,33,2015
Россия,Александр Муратов,Не указан,,2004
Мексика Испания,Ригоберто Кастаньеда,Не указан,31-й километр,2006
США,Не указан,Не указан,30 Rock: A XXX Parody,2009
США,Роб Зомби,Не указан,31,2016
Швеция,Андерс Банке,Не указан,30 дней до рассвета,2006
США,Бен Кетай,Не указан,30 дней ночи: Тёмные времена,2010
США,Крэйг Мосс,Не указан,30 ночей паранормального явления с одержимой девушкой с татуировкой дракона,2012
Франция,Робен Кампийо,Не указан,120 ударов в минуту,2017
США,Дэвид Слейд,Не указан,30 дней ночи,16 октября 2007 [ 2 ] и 8 ноября 2007 [ 3 ]
Япония,Дзюнъя Сато,Не указан,109-й идёт без остановок,1975
Гонконг,Хэ Мэнхуа,Не указан,Аббат Шаолиня,1979
США Италия Великобритания,Джозеф Сарджент,Не указан,Авраам: Хранитель веры,1994
Израиль,Шеми Зархин 1,драматический фильм,"Авива, любовь моя",2006
Польша,Януш Насфетер,Не указан,"Авель, твой брат",1970
США Германия,Мартин Скорсезе,Не указан,Авиатор,2004
США,Ирвин Виллат,Не указан,Авиапочта,1925
США,Энтони Майкл Холл,Не указан,Аве Цезарь,1994
Украина,Людмила Ефименко,Не указан,Аве Мария,1999
США,Линдсей Андерсон,Не указан,Августовские киты,1987
Япония,Акира Куросава,Не указан,Августовская рапсодия,1991
Япония,Сацуо Ямамото,Не указан,Август без императора,1978
США,Джон Уэллс,Не указан,Август: Графство Осейдж,2013
Великобритания,Энтони Хопкинс,Не указан,Август,1996
США,Кирстен Шеридан,Не указан,Август Раш,2007
США,Джеймс Кэмерон Пиранья 2: Нерест Чужие Бездна Правдивая ложь Титаник Терминатор Терминатор Терминатор 2: Судный день Аватар Аватар Аватар: Путь воды Аватар: Огонь и пепел Аватар 4 Аватар 5 Ксеногенезис Т2 3-D: Битва сквозь время Экспедиция «Бисмарк» Призраки бездны: «Титаник» Чужие из бездны,Постер для кинотеатрального проката,«Аватар: Путь воды»,2022
